[2026-03-07 21:49:01] Checking for data drift...
[2026-03-07 21:49:01] Drift detected in feature: Time
[2026-03-07 21:49:01] Drift detected in feature: V1
[2026-03-07 21:49:01] Drift detected in feature: V2
[2026-03-07 21:49:01] Drift detected in feature: V3
[2026-03-07 21:49:01] Drift detected in feature: V4
[2026-03-07 21:49:01] Drift detected in feature: V5
[2026-03-07 21:49:01] Drift detected in feature: V6
[2026-03-07 21:49:01] Drift detected in feature: V7
[2026-03-07 21:49:01] Drift detected in feature: V8
[2026-03-07 21:49:01] Drift detected in feature: V9
[2026-03-07 21:49:01] Drift detected in feature: V10
[2026-03-07 21:49:01] Drift detected in feature: V11
[2026-03-07 21:49:01] Drift detected in feature: V12
[2026-03-07 21:49:01] Drift detected in feature: V13
[2026-03-07 21:49:01] Drift detected in feature: V14
[2026-03-07 21:49:01] Drift detected in feature: V15
[2026-03-07 21:49:01] Drift detected in feature: V16
[2026-03-07 21:49:01] Drift detected in feature: V17
[2026-03-07 21:49:01] Drift detected in feature: V18
[2026-03-07 21:49:01] Drift detected in feature: V19
[2026-03-07 21:49:01] Drift detected in feature: V20
[2026-03-07 21:49:02] Drift detected in feature: V21
[2026-03-07 21:49:02] Drift detected in feature: V22
[2026-03-07 21:49:02] Drift detected in feature: V23
[2026-03-07 21:49:02] Drift detected in feature: V24
[2026-03-07 21:49:02] Drift detected in feature: V25
[2026-03-07 21:49:02] Drift detected in feature: V26
[2026-03-07 21:49:02] Drift detected in feature: V27
[2026-03-07 21:49:02] Drift detected in feature: V28
[2026-03-07 21:49:02] Drift detected in feature: Amount
[2026-03-07 21:54:46] Checking for data drift...
[2026-03-07 21:54:46] Drift detected in feature: Time
[2026-03-07 21:54:46] Drift detected in feature: V1
[2026-03-07 21:54:46] Drift detected in feature: V2
[2026-03-07 21:54:46] Drift detected in feature: V3
[2026-03-07 21:54:46] Drift detected in feature: V4
[2026-03-07 21:54:46] Drift detected in feature: V5
[2026-03-07 21:54:46] Drift detected in feature: V6
[2026-03-07 21:54:46] Drift detected in feature: V7
[2026-03-07 21:54:46] Drift detected in feature: V8
[2026-03-07 21:54:46] Drift detected in feature: V9
[2026-03-07 21:54:46] Drift detected in feature: V10
[2026-03-07 21:54:47] Drift detected in feature: V11
[2026-03-07 21:54:47] Drift detected in feature: V12
[2026-03-07 21:54:47] Drift detected in feature: V13
[2026-03-07 21:54:47] Drift detected in feature: V14
[2026-03-07 21:54:47] Drift detected in feature: V15
[2026-03-07 21:54:47] Drift detected in feature: V16
